Entity,Scenario,EntityScenario,Year,pcgdpgrowth
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1995,4.7150178241256
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1996,4.739774764233062
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1997,4.760996998275591
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1998,4.778090576023719
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,1999,4.791059726995739
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2000,4.800116862405068
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2001,4.805486567255968
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2002,4.807289334999787
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2003,4.805053761710187
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2004,4.798952530619149
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2005,4.788786845059589
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2006,4.774440051957596
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2007,4.75581814336139
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2008,4.729380991614662
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2009,4.69793332344508
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2010,4.662059201356472
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2011,4.621853521151387
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2012,4.577427303985626
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2013,4.528910622743965
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2014,4.4764514238490705
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2015,4.4202141914945425
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2016,4.360378475951299
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2017,4.297137309269772
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2018,4.230695532811701
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2019,4.161268061581058
Lower-middle income,Kuznets 1980,Lower-middle income Kuznets Kuznets 1980,2020,4.0890781103271046
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1980,NA
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1981,4.790383431779444
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1982,4.7997047921121805
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1983,4.805205083850028
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1984,4.80724351328774
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1985,4.805283937921789
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1986,4.799434292440563
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1987,4.7894704089496365
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1988,4.775497772215909
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1989,4.756789576240261
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1990,4.73121980348985
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1991,4.699877086683224
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1992,4.664341146827433
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1993,4.624340326505494
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1994,4.5797359001420235
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1995,4.53080144207898
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1996,4.477827143307822
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1997,4.4208771687644255
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1998,4.359918730089429
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,1999,4.2950653466118816
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2000,4.227221395831515
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2001,4.155915931175347
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2002,4.079322578650801
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2003,3.998485792473039
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2004,3.9152490761210856
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2005,3.8307530331023187
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2006,3.747155021668913
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2007,3.6652632069121616
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2008,3.582982927520062
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2009,3.5003592413306084
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2010,3.416755180645392
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2011,3.3323930992833706
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2012,3.24748874385703
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2013,3.162250294968416
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2014,3.076877534556166
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2015,2.991561139248722
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2016,2.9064820978396355
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2017,2.8218112493613834
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2018,2.737708936894556
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2019,2.6543247711103835
Upper-middle income,Kuznets 1980,Upper-middle income Kuznets Kuznets 1980,2020,2.571797496591266
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1990,NA
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1991,2.085112191018368
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1992,2.032942174936103
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1993,1.9815782293285622
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1994,1.930747054858939
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1995,1.8804462510187303
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1996,1.8307698626963465
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1997,1.781729768661311
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1998,1.73334964508296
High income,Kuznets 1990,High income Kuznets Kuznets 1990,1999,1.6856830807941758
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2000,1.638781999694361
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2001,1.5926608250906416
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2002,1.547295875904986
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2003,1.5026934165056183
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2004,1.4588910367267172
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2005,1.4159891216055431
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2006,1.3741309081690023
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2007,1.3332351996396152
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2008,1.2932374114006162
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2009,1.2540919132122852
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2010,1.2157638368317514
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2011,1.1783029854529836
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2012,1.1418256987833164
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2013,1.10616617805257
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2014,1.0709891811126138
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2015,1.036651749021722
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2016,1.0032767604329695
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2017,0.9710374406707967
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2018,0.9398376552927079
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2019,0.9095774030781101
High income,Kuznets 1990,High income Kuznets Kuznets 1990,2020,0.880272414826111
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1990,NA
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1991,3.241509572976635
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1992,3.240796356485356
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1993,3.2399602257224056
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1994,3.2378198979135977
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1995,3.237215189350691
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1996,3.2385443207214495
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1997,3.2424031180500412
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1998,3.2495078499142265
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,1999,3.2598279998220625
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2000,3.2735712584129413
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2001,3.290535725924329
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2002,3.3099763207323054
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2003,3.3316122369510817
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2004,3.354989670963043
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2005,3.3812851740429863
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2006,3.4094033388445077
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2007,3.437940476693319
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2008,3.4668196492674275
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2009,3.495962023638416
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2010,3.52528683055906
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2011,3.554711351358697
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2012,3.5841509339669453
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2013,3.613519038546731
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2014,3.642727313132943
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2015,3.6716856995749447
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2016,3.7003025699018477
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2017,3.728484893073236
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2018,3.756138431848288
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2019,3.78316796925372
Low income,Kuznets 1990,Low income Kuznets Kuznets 1990,2020,3.809477563881747
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1990,NA
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1991,3.674690627014132
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1992,3.702622449786108
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1993,3.729973459226643
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1994,3.756343996496292
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1995,3.782123028906903
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1996,3.807365937531515
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1997,3.831937993035728
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1998,3.8560234074782374
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,1999,3.87889023455783
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2000,3.9007819638281482
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2001,3.9217299203720524
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2002,3.940860044116401
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2003,3.9583803197555723
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2004,3.974662640137061
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2005,3.9892834816344314
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2006,4.001986210224628
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2007,4.012825942239218
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2008,4.021971906306776
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2009,4.029458795126928
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2010,4.035596204333536
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2011,4.040108762679084
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2012,4.0428132645268455
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2013,4.043861988942288
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2014,4.043070892711009
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2015,4.040360889059436
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2016,4.035836256468595
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2017,4.02830784157111
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2018,4.015982393585826
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2019,4.001352666851488
Lower-middle income,Kuznets 1990,Lower-middle income Kuznets Kuznets 1990,2020,3.9844279644881464
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1990,NA
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1991,4.036537157501963
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1992,4.0408089521783985
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1993,4.043157273897369
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1994,4.043873304676837
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1995,4.042654986530203
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1996,4.039627646715949
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1997,4.034568110577053
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1998,4.025926022619997
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,1999,4.013267456657377
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2000,3.998055036469439
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2001,3.9807519392524693
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2002,3.9610552392751686
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2003,3.9388170190790994
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2004,3.914126273656837
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2005,3.8871606340348475
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2006,3.8579402586315314
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2007,3.826410558790494
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2008,3.792461722114382
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2009,3.7561219516609956
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2010,3.7179994712320585
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2011,3.6779325210942737
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2012,3.634354179190691
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2013,3.5870649756115203
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2014,3.537498332537803
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2015,3.4865544409860227
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2016,3.4348523519333263
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2017,3.3844720148336283
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2018,3.335346814700113
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2019,3.285699387893448
Upper-middle income,Kuznets 1990,Upper-middle income Kuznets Kuznets 1990,2020,3.2358106390761865
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2000,NA
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2001,1.8073653356341257
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2002,1.7620251939210796
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2003,1.7174508732087812
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2004,1.673516231235661
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2005,1.630140583443751
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2006,1.5873840537202977
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2007,1.545429950736299
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2008,1.503709058277236
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2009,1.4624870522744526
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2010,1.4222890566475854
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2011,1.3832985676442533
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2012,1.345313593172337
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2013,1.3082857511935053
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2014,1.27208209527776
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2015,1.2367553530608255
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2016,1.202325032920104
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2017,1.1683771049771252
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2018,1.1352528435451426
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2019,1.102888092743859
High income,Kuznets 2000,High income Kuznets Kuznets 2000,2020,1.0707443740776146
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2000,NA
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2001,3.329124796621305
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2002,3.3192086423777245
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2003,3.3096675325736817
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2004,3.301329250942575
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2005,3.2923469670603294
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2006,3.2829982474964354
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2007,3.272751526838068
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2008,3.263081450538188
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2009,3.255871796145445
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2010,3.2509613866903293
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2011,3.2492904104354556
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2012,3.251362724264553
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2013,3.256519875617861
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2014,3.2656123718525416
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2015,3.277370125117321
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2016,3.2916031537814474
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2017,3.307873648752735
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2018,3.326394995769133
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2019,3.347927907436649
Low income,Kuznets 2000,Low income Kuznets Kuznets 2000,2020,3.370224863321508
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2000,NA
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2001,3.755595040765436
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2002,3.7759120287996106
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2003,3.7957688413590374
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2004,3.814483747177544
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2005,3.831745141220866
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2006,3.84813765988552
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2007,3.8634767466645847
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2008,3.8774063237737133
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2009,3.889833249510466
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2010,3.9009241349057255
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2011,3.910741076939206
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2012,3.9194324981705275
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2013,3.927170339973851
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2014,3.933556766340729
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2015,3.938624714641281
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2016,3.9424182690902976
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2017,3.9447617176188166
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2018,3.945562484649079
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2019,3.945073382645692
Lower-middle income,Kuznets 2000,Lower-middle income Kuznets Kuznets 2000,2020,3.9412324224903372
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2000,NA
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2001,3.9424639639835446
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2002,3.9358980503503727
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2003,3.9267324216530453
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2004,3.915882884549471
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2005,3.903088537888877
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2006,3.888136012324739
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2007,3.8709987917810995
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2008,3.8518381203347385
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2009,3.8307137793364365
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2010,3.8075698132799207
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2011,3.782294863030522
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2012,3.7547816943227286
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2013,3.725338741375417
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2014,3.694438202943795
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2015,3.660845841292293
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2016,3.6233878132064135
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2017,3.5830787226201366
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2018,3.541061927972722
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2019,3.4981083094324905
Upper-middle income,Kuznets 2000,Upper-middle income Kuznets Kuznets 2000,2020,3.4552594042218665
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2010,NA
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2011,1.4466003106900605
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2012,1.4029795473898155
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2013,1.3605939540954015
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2014,1.319396422899688
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2015,1.279238182425324
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2016,1.2401551974837943
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2017,1.2021830322789029
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2018,1.1648944927132643
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2019,1.1285997521214508
High income,Kuznets 2010,High income Kuznets Kuznets 2010,2020,1.0932748020394012
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2010,NA
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2011,3.7695125047830653
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2012,3.778283961841855
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2013,3.7908228136520616
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2014,3.8065504216701296
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2015,3.8248012928910446
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2016,3.846505781801668
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2017,3.870701517055192
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2018,3.8954676196079454
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2019,3.9206929126698653
Low income,Kuznets 2010,Low income Kuznets Kuznets 2010,2020,3.946265743210886
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2010,NA
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2011,4.35541186142776
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2012,4.355897016423094
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2013,4.354675866799362
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2014,4.351544232234894
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2015,4.3463851701151635
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2016,4.339411179505914
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2017,4.327351580408334
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2018,4.311876022284777
